Date,Product,Units Sold,Revenue,Cost,Region,Transportation Cost,Salesperson,Source File
2021-04-01,White Cylinder,153,178621.36,120083.6,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Silver Cylinder,577,759598.54,513850.27,Hosur,2000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Orange Cylinder,263,212115.21,121183.71,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,White Cylinder,246,340890.92,192451.29,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Silver Cylinder,225,200692.21,110496.78,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Orange Cylinder,369,350194.42,198463.49,Hosur,2000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,White Cylinder,282,375658.91,207266.3,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Silver Cylinder,404,308736.51,215429.81,Pune,4500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Orange Cylinder,560,626869.8,412366.78,Hosur,2000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,White Cylinder,507,711780.31,456768.38,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Silver Cylinder,198,179227.02,101046.75,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Orange Cylinder,369,217113.69,149906.58,Bangalore,1000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,White Cylinder,315,232737.83,146244.45,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Silver Cylinder,398,244357.67,153545.44,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Orange Cylinder,411,325200.84,220525.55,Chennai,3500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,White Cylinder,371,506924.13,344331.48,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Silver Cylinder,155,174689.21,97199.22,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Orange Cylinder,227,126474.16,82979.86,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,White Cylinder,182,100655.18,61632.68,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Silver Cylinder,554,688544.18,464316.7,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Orange Cylinder,416,462329.87,260865.2,Hosur,2000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,White Cylinder,262,172545.59,111409.17,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Silver Cylinder,172,110833.31,72541.79,Chennai,3500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Orange Cylinder,213,184958.85,107019.12,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,White Cylinder,354,256781.48,152639.07,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Silver Cylinder,173,205051.6,135964.43,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Orange Cylinder,443,540879.93,353541.37,Chennai,3500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,White Cylinder,395,383708.94,229361.56,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Silver Cylinder,504,324211.92,178390.01,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Orange Cylinder,439,347194.24,195945.43,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,White Cylinder,477,640484.47,391910.89,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Silver Cylinder,587,602452.0,354971.5,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Orange Cylinder,493,447709.11,311306.84,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,White Cylinder,448,649190.06,397625.41,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Silver Cylinder,227,330828.06,189883.83,Faridabad,7000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Orange Cylinder,403,277551.46,171200.4,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,White Cylinder,600,863407.48,488808.26,Chennai,3500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Silver Cylinder,300,215090.01,118431.94,Chennai,3500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Orange Cylinder,262,261891.62,164174.5,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,White Cylinder,522,298453.67,178737.33,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Silver Cylinder,478,642166.69,354615.1,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Orange Cylinder,209,149898.6,96320.67,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,White Cylinder,490,662359.77,417728.81,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Silver Cylinder,590,865552.42,480940.73,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Orange Cylinder,173,147325.37,97003.89,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,White Cylinder,377,247895.42,159945.28,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Silver Cylinder,462,443858.32,256509.56,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Orange Cylinder,427,248776.82,162716.72,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,White Cylinder,585,446427.42,264807.66,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Silver Cylinder,174,120209.61,77020.61,Hosur,2000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Orange Cylinder,451,548527.26,316762.22,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,White Cylinder,200,222552.18,139137.35,Faridabad,7000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Silver Cylinder,210,186078.77,125746.04,Chennai,3500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Orange Cylinder,569,367504.33,229903.94,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,White Cylinder,429,382684.03,252894.21,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Silver Cylinder,456,545555.94,377130.38,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Orange Cylinder,445,240310.45,132779.27,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,White Cylinder,286,223532.92,155696.92,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Silver Cylinder,402,316067.66,205009.19,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Orange Cylinder,562,521493.67,360987.34,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,White Cylinder,296,254022.67,145149.45,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Silver Cylinder,287,148871.76,99226.03,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Orange Cylinder,494,484531.31,317466.74,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,White Cylinder,503,705182.22,470912.07,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Silver Cylinder,360,454322.68,284805.3,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Orange Cylinder,428,589218.55,396139.34,Chennai,3500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,White Cylinder,439,480719.29,289705.1,Pune,4500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Silver Cylinder,546,366290.69,237251.21,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Orange Cylinder,415,579518.46,341264.38,Hosur,2000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,White Cylinder,399,563059.94,363482.7,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Silver Cylinder,338,395733.13,257576.8,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Orange Cylinder,348,385730.38,234827.85,Chennai,3500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,White Cylinder,328,217589.94,133968.36,Chennai,3500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Silver Cylinder,452,561059.77,392100.9,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Orange Cylinder,317,301808.01,190559.33,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,White Cylinder,313,275512.51,170915.14,Hosur,2000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Silver Cylinder,238,271215.01,174284.77,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Orange Cylinder,490,276303.28,161323.52,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,White Cylinder,168,127928.19,78543.76,Bangalore,1000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Silver Cylinder,448,393571.52,234817.61,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Orange Cylinder,337,315177.99,218423.06,Chennai,3500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,White Cylinder,250,373669.88,208762.45,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Silver Cylinder,268,188078.77,124197.28,Faridabad,7000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Orange Cylinder,210,281879.11,190982.34,Chennai,3500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,White Cylinder,591,783587.2,541179.6,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Silver Cylinder,548,535772.6,374169.3,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Orange Cylinder,389,361164.26,212858.17,Hosur,2000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,White Cylinder,541,636694.77,423365.4,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Silver Cylinder,324,281007.61,187521.15,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Orange Cylinder,151,198185.95,122010.12,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,White Cylinder,524,546120.2,313200.36,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Silver Cylinder,497,376559.72,244714.61,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Orange Cylinder,300,406110.34,231765.42,Bangalore,1000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,White Cylinder,455,424324.78,266039.02,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Silver Cylinder,581,574337.12,323546.35,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Orange Cylinder,473,247766.53,150983.11,Chennai,3500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,White Cylinder,151,76259.35,52671.16,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Silver Cylinder,586,364104.88,207503.98,Pune,4500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Orange Cylinder,568,507945.71,301643.96,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,White Cylinder,490,399389.74,236914.04,Hosur,2000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Silver Cylinder,498,309984.09,197718.53,Hosur,2000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Orange Cylinder,522,548284.31,318683.07,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,White Cylinder,348,400682.3,243850.69,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Silver Cylinder,399,251286.19,169039.91,Hosur,2000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Orange Cylinder,504,714636.24,489303.93,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,White Cylinder,257,226004.35,146093.08,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Silver Cylinder,349,293022.51,191066.34,Faridabad,7000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Orange Cylinder,155,165731.31,101368.3,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,White Cylinder,549,443237.24,245756.48,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Silver Cylinder,279,188291.49,120252.67,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Orange Cylinder,231,337170.72,202324.58,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,White Cylinder,271,318223.34,198814.76,Chennai,3500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Silver Cylinder,422,346338.24,228949.2,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Orange Cylinder,197,286595.03,183229.31,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,White Cylinder,448,416783.41,260368.55,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Silver Cylinder,259,144869.01,90573.63,Bangalore,1000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Orange Cylinder,547,393865.2,261486.41,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,White Cylinder,209,108660.82,66173.08,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Silver Cylinder,525,492937.65,295986.87,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Orange Cylinder,404,553309.88,312172.63,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,White Cylinder,522,557786.46,317444.39,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Silver Cylinder,264,370210.86,247565.84,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Orange Cylinder,316,361950.08,214748.36,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,White Cylinder,548,613506.1,407261.06,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Silver Cylinder,438,555102.39,377221.94,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Orange Cylinder,263,178199.25,101245.86,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,White Cylinder,523,328326.77,206566.5,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Silver Cylinder,512,397219.17,274034.25,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Orange Cylinder,464,537307.8,346156.47,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,White Cylinder,356,242241.82,137511.74,Pune,4500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Silver Cylinder,334,326529.94,185230.05,Pune,4500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Orange Cylinder,534,477094.08,330214.09,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,White Cylinder,591,873864.71,487513.38,Chennai,3500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Silver Cylinder,222,178071.8,120488.11,Faridabad,7000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Orange Cylinder,181,149582.66,96748.76,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,White Cylinder,594,299771.05,208863.23,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Silver Cylinder,374,435564.18,303000.13,Pune,4500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Orange Cylinder,239,321265.6,189361.82,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,White Cylinder,367,485294.35,289727.4,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Silver Cylinder,240,219343.31,142448.27,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Orange Cylinder,227,236814.32,130747.52,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,White Cylinder,474,381897.03,246196.48,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Silver Cylinder,475,634827.76,386559.95,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
